Nº Registro;Tipo;Estado;F.Solicitud;Origen;Unidad;Provincia;Referencia
2023-0941;Sugerencia Interna;Anulada;2023-10-30;WEB;CONSEJERIA DE LA PRESIDENCIA;VALLADOLID;
2023-0936;Queja;Contestado;2023-10-30;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Corresponde a Servicios Centrales
2023-0937;Queja;Contestado;2023-10-30;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;ZAMORA;Mala cimentación de la carretera
2023-0938;Queja;Contestado;2023-10-30;WEB;CONSEJERIA DE EDUCACION;BURGOS;Transporte escolar
2023-0940;Queja;Contestado;2023-10-30;WEB;CONSEJERIA DE EDUCACION;SALAMANCA;No se le proporciona transporte escolar
2023-0942;Sugerencia Interna;Remitido a Cons/DT;2023-10-30;WEB;CONSEJERIA DE SANIDAD;ZAMORA;
2023-0935;Queja;Anulada;2023-10-30;WEB;CONSEJERIA DE LA PRESIDENCIA;ZAMORA;Anulada por ser una queja igual a otra
2023-0934;Queja;Contestado;2023-10-28;Servicio 012;CONSEJERIA DE EDUCACION;VALLADOLID;
2023-0933;Queja;Contestado;2023-10-28;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Problemas con IBAN cuenta
2023-0929;Queja;Contestado;2023-10-27;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SALAMANCA;Desacuerdo con actuación
2023-0932;Queja;Contestado;2023-10-27;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;VALLADOLID;
2023-0930;Queja;Contestado;2023-10-27;OAMR;GERENCIA DE SERVICIOS SOCIALES;BURGOS;Tramitación administrativa valoración discapacidad
2023-0931;Queja;Contestado;2023-10-27;Servicio 012;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Bolsa de empleo Cuerpo de Gestión
2023-0927;Queja;Remitido Órgano;2023-10-26;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Secretaría de Intervención
2023-0928;Sugerencia;Contestado;2023-10-26;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;C-1 en maestros sin reconocer
2023-0926;Queja;Contestado;2023-10-26;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Expresa malestar por instalaciones de campamento de RED ACTIVA
2023-0921;Queja;Contestado;2023-10-25;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Escrito sin registrar por problemas SIR
2023-0922;Queja;Contestado;2023-10-25;WEB;GERENCIA DE SERVICIOS SOCIALES;VALLADOLID;
2023-0924;Queja;Contestado;2023-10-25;ESCRITO;CONSEJERIA DE EDUCACION;SORIA;Falta profesorado IES ANTONIO MACHADO
2023-0919;Queja;Contestado;2023-10-25;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;SALAMANCA;Malestar por falta de asignación de plaza a su padre en centro de mayores
2023-0920;Queja;Contestado;2023-10-25;OAMR;CONSEJERIA DE EDUCACION;BURGOS;Transporte escolar
2023-0923;Queja;Contestado;2023-10-25;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Campamento Red Activa
2023-0925;Queja;Inadmitida;2023-10-25;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;VALLADOLID;
2023-0915;Queja;Contestado;2023-10-24;BUZON;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Descontento con campamento juvenil
2023-0917;Sugerencia;Contestado;2023-10-24;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;VALLADOLID;
2023-0911;Queja;Contestado;2023-10-24;WEB;CONSEJERIA DE EDUCACION;SEGOVIA;El interesado se queja de la sustracción de prendas de su hija en el Colegio
2023-0912;Queja;Contestado;2023-10-24;ESCRITO;GERENCIA DE SERVICIOS SOCIALES;SORIA;Club de los 60 Normandía
2023-0913;Queja;Contestado;2023-10-24;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Inexistencia licencia juego
2023-0914;Queja;Contestado;2023-10-24;WEB;CONSEJERIA DE EDUCACION;VALLADOLID;
2023-0918;Sugerencia;Remitido Órgano;2023-10-24;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Bolsa personal de servicios y conserje
2023-0916;Queja;Remitido Órgano;2023-10-24;Servicio 012;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Queja asignación sala de actividad de hipopresivos
2023-0910;Queja;Contestado;2023-10-23;WEB;CONSEJERIA DE EDUCACION;BURGOS;Actividades asignatura medidas de atención educativa
2023-0907;Queja;Contestado;2023-10-20;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Queja  porque el sistema en el PADIA sólo se puede operar con Windows, deberían permitir otros sistemas
2023-0908;Queja;Contestado;2023-10-20;ESCRITO;CONSEJERIA DE SANIDAD;SORIA;Vacunación Internacional
2023-0909;Queja;Contestado;2023-10-20;ESCRITO;CONSEJERIA DE SANIDAD;SORIA;Vacunación Internacional 2
2023-0898;Queja;Anulada;2023-10-19;WEB;CONSEJERIA DE EDUCACION;AVILA;Anulada por ser una queja igual a otra
2023-0899;Queja;Contestado;2023-10-19;WEB;CONSEJERIA DE EDUCACION;SALAMANCA;Pavimento inapropiado en escuela de educación infantil
2023-0900;Queja;Contestado;2023-10-19;WEB;CONSEJERIA DE EDUCACION;AVILA;Queja contra el trato de una funcionaria
2023-0902;Queja;Contestado;2023-10-19;Servicio 012;CONSEJERIA DE EDUCACION;BURGOS;Transporte escolar
2023-0903;Queja;Contestado;2023-10-19;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;ZAMORA;Revisar el protocolo de atención al público
2023-0904;Sugerencia;Anulada;2023-10-19;WEB;;SERVICIOS CENTRALES;Prueba
2023-0905;Sugerencia;Contestado;2023-10-19;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Sugiere agilizar las respuestas en las notificaciones
2023-0906;Sugerencia;Contestado;2023-10-19;Servicio 012;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Figura de mujer en el MEH
2023-0901;Queja;Contestado;2023-10-19;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Servicios mínimos en escuelas infantiles municipales
2023-0886;Queja;Contestado;2023-10-18;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;SORIA;Residencia El Parque (Soria)
2023-0887;Queja;Contestado;2023-10-18;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;
2023-0890;Queja;Contestado;2023-10-18;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;VALLADOLID;
2023-0895;Queja;Inadmitida;2023-10-18;WEB;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;SALAMANCA;Remitida al Ayuntamiento de Salamanca
2023-0896;Queja;Inadmitida;2023-10-18;WEB;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;SALAMANCA;Remitida al Ayuntamiento de Salamanca
2023-0897;Queja;Remitido Órgano;2023-10-18;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Se queja del mal funcionamiento de la página Web de la Junta de Castilla y León
2023-0885;Queja;Anulada;2023-10-18;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;AVILA;Anulada por ser una queja igual a otra
2023-0891;Queja;Contestado;2023-10-18;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;
2023-0892;Queja;Contestado;2023-10-18;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;
2023-0893;Queja;Contestado;2023-10-18;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;
2023-0894;Queja;Contestado;2023-10-18;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;
2023-0888;Queja;Contestado;2023-10-18;WEB;CONSEJERIA DE SANIDAD;AVILA;Campamento Prado de la Torre, Mombeltrán
2023-0889;Queja;Contestado;2023-10-18;WEB;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;AVILA;Campamento Prado de la Torre, Mombeltrán
2023-0883;Queja;Contestado;2023-10-17;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;No pago de nóminas
2023-0884;Queja;Contestado;2023-10-17;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Recurso de alzada
2023-0881;Queja;Contestado;2023-10-16;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;
2023-0882;Sugerencia;Contestado;2023-10-16;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;Sugiere permitir acceso a la biblioteca con sillas infantiles
2023-0879;Queja;Contestado;2023-10-14;WEB;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Solicitud de cambio de médico para residente
2023-0880;Sugerencia;Contestado;2023-10-14;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Mala atención en el acceso al Claustro de San Juan de Duero
2023-0876;Queja;Contestado;2023-10-13;Servicio 012;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;Sistema de Salud error traslado expediente
2023-0877;Sugerencia;Contestado;2023-10-13;ESCRITO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SORIA;Más pedagogía con los visitantes Cañón del Río Lobos
2023-0878;Sugerencia;Contestado;2023-10-13;ESCRITO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SORIA;Agentes y celadores vigilando dentro del parque Cañón del Río Lobos
2023-0875;Queja;Contestado;2023-10-12;WEB;CONSEJERIA DE EDUCACION;AVILA;Transporte escolar
2023-0873;Queja;Contestado;2023-10-11;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;AVILA;Acogimiento de menores
2023-0874;Queja;Contestado;2023-10-11;Servicio 012;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Bolsa empleo temporal Cuerpo de Gestión
2023-0866;Queja;Contestado;2023-10-09;WEB;CONSEJERIA DE EDUCACION;LEÓN;No recibir información solicitada en las oficinas adminsitrativas de la EOI. Trato inadecuado
2023-0865;Queja;Contestado;2023-10-09;Servicio 012;SERVICIO PUBLICO DE EMPLEO;SERVICIOS CENTRALES;Se queja porque entiende que no puede realizar un determinado trámite a través de la oficina virtual de empleo
2023-0867;Queja;Contestado;2023-10-09;ESCRITO;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Se queja del estado de la señalización de las carreteras CL-631 A LE-711
2023-0868;Queja;Contestado;2023-10-09;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Carrera profesional
2023-0870;Queja;Contestado;2023-10-09;WEB;CONSEJERIA DE EDUCACION;LEÓN;Falta de atención e información en las oficinas de la EOI Ponferrada
2023-0871;Queja;Contestado;2023-10-09;WEB;CONSEJERIA DE EDUCACION;LEÓN;Trato inadecuado y falta de información por parte de funcionarios de  oficinas administrativas EOI Ponferrada
2023-0872;Queja;Contestado;2023-10-09;Servicio 012;CONSEJERIA DE EDUCACION;LEÓN;Falta de atención y ética en la EOI Ponferrada
2023-0869;Queja;Contestado;2023-10-09;WEB;CONSEJERIA DE EDUCACION;LEÓN;Atención recibida en las oficinas admistrativas EOI Ponferrada
2023-0864;Queja;Contestado;2023-10-07;WEB;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Se queja de la colocación de ciertas señales en la carretera SG-615
2023-0860;Queja;Contestado;2023-10-06;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Problema con lista morosos y readmisión como usuarios activos
2023-0861;Queja;Remitido Órgano;2023-10-06;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Concertar reunión
2023-0859;Queja;Contestado;2023-10-06;ESCRITO;SERVICIO PUBLICO DE EMPLEO;AVILA;Certificado INEM Arévalo de candidatos
2023-0862;Sugerencia;Contestado;2023-10-06;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;VALLADOLID;
2023-0863;Sugerencia;Inadmitida;2023-10-06;WEB;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Sugiere la construcción de una autovía entre Valladolid y León
2023-0855;Queja;Contestado;2023-10-05;OAMR;GERENCIA DE SERVICIOS SOCIALES;BURGOS;Retrasos en citas para la unidad de valoración
2023-0856;Queja;Contestado;2023-10-05;OAMR;GERENCIA DE SERVICIOS SOCIALES;BURGOS;Comida deficiente en Residencia de Mayores Privada
2023-0853;Queja;Contestado;2023-10-05;OAMR;GERENCIA DE SERVICIOS SOCIALES;BURGOS;Fallos en registro de documentos en el registro de la Gerencia de Servicios Sociales
2023-0857;Queja;Contestado;2023-10-05;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;El interesado se queja del mal estado de la carretera SG-322
2023-0854;Queja;Contestado;2023-10-05;ESCRITO;CONSEJERIA DE EDUCACION;VALLADOLID;
2023-0858;Queja;Contestado;2023-10-05;ESCRITO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Queja por atención recibida en llamada efectuada al teléfono 112 tras accidente de tráfico
2023-0849;Queja;Contestado;2023-10-04;ESCRITO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;
2023-0848;Queja;Contestado;2023-10-04;WEB;CONSEJERIA DE EDUCACION;SALAMANCA;Considera excesivo el tiempo obligatorio de permanencia del niño en la guardería
2023-0850;Queja;Contestado;2023-10-04;ESCRITO;SERVICIO PUBLICO DE EMPLEO;AVILA;Trato inadecuado. ECYL Arévalo
2023-0846;Queja;Contestado;2023-10-04;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Queja por la falta de resolución en plazo de las ayudas al alquiler joven 2022
2023-0847;Queja;Contestado;2023-10-04;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;VALLADOLID;
2023-0851;Sugerencia;Inadmitida;2023-10-04;WEB;CONSEJERIA DE LA PRESIDENCIA;VALLADOLID;
2023-0852;Sugerencia;Inadmitida;2023-10-04;WEB;CONSEJERIA DE LA PRESIDENCIA;VALLADOLID;
2023-0844;Queja;Contestado;2023-10-03;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Viaje a Normandía con el Club de los 60
2023-0843;Queja;Contestado;2023-10-03;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SALAMANCA;Falta de mecanismos reductores de velocidad
2023-0845;Queja;Contestado;2023-10-03;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;Denegacción de acceso a los padres y falta de control en la actividad de atletismo que se desarrolla en el campo de la juventud
2023-0834;Queja;Contestado;2023-10-02;ESCRITO;CONSEJERIA DE EDUCACION;VALLADOLID;
2023-0839;Queja;Contestado;2023-10-02;ESCRITO;CONSEJERIA DE EDUCACION;VALLADOLID;
2023-0832;Queja;Contestado;2023-10-02;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;PALENCIA;Mal funcionamiento de la línea de autobuses Aguilar de Campoo-Palencia que presta la empresa Linecar
2023-0836;Queja;Contestado;2023-10-02;ESCRITO;CONSEJERIA DE EDUCACION;VALLADOLID;
2023-0837;Queja;Contestado;2023-10-02;ESCRITO;CONSEJERIA DE EDUCACION;VALLADOLID;
2023-0840;Queja;Contestado;2023-10-02;Servicio 012;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Desacuerdo con dejar sacar exámen en proceso selectivo
2023-0841;Queja;Contestado;2023-10-02;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Queja por los malos olores provocados por la fabrica de Findus en el barrio de La Farola (Valladolid)
2023-0833;Queja;Contestado;2023-10-02;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;PALENCIA;Deficiencias de la línea de autobuses Aguilar de Campoo-Palencia que presta la empresa Linecar
2023-0835;Queja;Contestado;2023-10-02;ESCRITO;CONSEJERIA DE EDUCACION;VALLADOLID;
2023-0838;Queja;Contestado;2023-10-02;ESCRITO;CONSEJERIA DE EDUCACION;VALLADOLID;
2023-0842;Queja;Remitido Órgano;2023-10-02;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Trato inadecuado durante un curso de ingles y de nuevas tecnologías
2023-0830;Queja;Contestado;2023-09-30;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;AVILA;Senda PRC-AV49 CINCO VILLAS
2023-0829;Queja;Anulada;2023-09-30;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;AVILA;Anulada por ser una queja igual a otra
2023-0831;Queja;Contestado;2023-09-30;ESCRITO;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;Regulación de la temperatura
2023-0826;Queja;Contestado;2023-09-29;WEB;CONSEJERIA DE EDUCACION;SALAMANCA;Insuficiencia de plazas en transporte escolar
2023-0827;Sugerencia;Contestado;2023-09-29;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Incumplimiento de plazos
2023-0828;Sugerencia;Contestado;2023-09-29;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;SALAMANCA;Puerta principal de acceso a Delegacion Territorial de Salamanca no accesible a personas con discapacidad
2023-0824;Queja;Anulada;2023-09-28;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;
2023-0825;Sugerencia Interna;Remitida Órgano;2023-09-28;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Punto recarga coches eléctricos
2023-0819;Queja;Contestado;2023-09-27;OAMR;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Queja por no ser atendido telefónicamente
2023-0820;Queja;Contestado;2023-09-27;OAMR;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;imposiblidad de firma contrato en Centro Administrativo Miranda
2023-0821;Queja;Contestado;2023-09-27;OAMR;GERENCIA DE SERVICIOS SOCIALES;AVILA;Residencia EL JARDIN DEL TIETAR
2023-0822;Queja;Contestado;2023-09-27;WEB;CONSEJERIA DE EDUCACION;SALAMANCA;Cierre y desmantelamiento del CRA de VALDELACASA
2023-0823;Queja;Contestado;2023-09-27;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Serunion
2023-0814;Queja;Contestado;2023-09-26;WEB;CONSEJERIA DE EDUCACION;SALAMANCA;Disconformidad con atenciones y cuidados a bebé
2023-0816;Queja;Contestado;2023-09-26;LIBRO;GERENCIA DE SERVICIOS SOCIALES;SEGOVIA;la interesada se queja del trato recibido por su madre respecto del aseo personal
2023-0817;Sugerencia Interna;Contestado;2023-09-26;WEB;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Sugiere un cambio en la denominación de los puestos en la aplicación Urbión
2023-0818;Sugerencia Interna;Contestado;2023-09-26;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Cambios en la terminología
2023-0815;Queja;Contestado;2023-09-26;BUZON;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Reclamación del dinero que abonó por campamento a modo de indemnización
2023-0812;Queja;Contestado;2023-09-25;WEB;SERVICIO PUBLICO DE EMPLEO;VALLADOLID;
2023-0813;Queja;Contestado;2023-09-25;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;CL-623 velocidads altas y sitio tiene peligro
2023-0811;Sugerencia;Contestado;2023-09-23;ESCRITO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SORIA;Permitir paso gratuito a vehículos con Discapacitados
2023-0806;Queja;Contestado;2023-09-22;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;Falta solución a valoración bien rústico
2023-0808;Queja;Contestado;2023-09-22;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;
2023-0809;Queja;Contestado;2023-09-22;WEB;CONSEJERIA DE CULTURA Y TURISMO;LEÓN;Ausencia de consigna o lugar seguro para depositar objetos personales
2023-0810;Queja;Contestado;2023-09-22;ESCRITO;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Campamento del programa Red Activa
2023-0807;Queja;Contestado;2023-09-22;WEB;CONSEJERIA DE SANIDAD;BURGOS;Testamento vital
2023-0800;Queja;Contestado;2023-09-21;Servicio 012;CONSEJERIA DE MOVILIDAD Y TRANSFORMACION DIGITAL;SERVICIOS CENTRALES;Se queja de la línea de transporte metropolitano entre Tudela de Duero y Valladolid
2023-0802;Queja;Contestado;2023-09-21;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;
2023-0803;Queja;Contestado;2023-09-21;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Proceso selectivo cuerpo auxiliar
2023-0804;Queja;Contestado;2023-09-21;Servicio 012;CONSEJERIA DE EDUCACION;SALAMANCA;Insuficiencia de plazas en transporte escolar
2023-0805;Queja;Contestado;2023-09-21;BUZON;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Horarios estrictos que impiden conciliación de vida familiar y laboral
2023-0801;Queja;Contestado;2023-09-21;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;
2023-0796;Queja;Contestado;2023-09-20;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;VALLADOLID;
2023-0797;Queja;Contestado;2023-09-20;WEB;CONSEJERIA DE EDUCACION;AVILA;Transporte escolar zona de Arévalo
2023-0798;Queja;Contestado;2023-09-20;WEB;CONSEJERIA DE EDUCACION;LEÓN;Horarios ruta transporte escolar 331 (Ruta de Cuadros)
2023-0799;Queja;Contestado;2023-09-20;WEB;CONSEJERIA DE EDUCACION;SALAMANCA;Mal funcionamiento transporte escolar
2023-0792;Queja;Contestado;2023-09-19;ESCRITO;CONSEJERIA DE EDUCACION;SALAMANCA;Falta de cuidados y atenciones a bebé
2023-0794;Queja;Inadmitida;2023-09-19;WEB;CONSEJERIA DE EDUCACION;AVILA;
2023-0790;Queja;Contestado;2023-09-19;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;VALLADOLID;Mal funcionamiento oficina de registro
2023-0793;Queja;Contestado;2023-09-19;ESCRITO;CONSEJERIA DE SANIDAD;SALAMANCA;Vacunación Internacional
2023-0789;Queja;Contestado;2023-09-19;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SALAMANCA;Mal estado de caminos (no especifica) por residuos
2023-0791;Queja;Contestado;2023-09-19;WEB;CONSEJERIA DE EDUCACION;VALLADOLID;
2023-0795;Sugerencia;Contestado;2023-09-19;Servicio 012;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Programa y temas Cuerpo auxiliares
2023-0779;Queja;Contestado;2023-09-18;WEB;CONSEJERIA DE EDUCACION;BURGOS;Deficiencias en centro educativo
2023-0782;Queja;Contestado;2023-09-18;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SORIA;Desacuerdo con permiso para explotación porcina
2023-0787;Queja;Remitido Órgano;2023-09-18;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Mal funcionamiento Web corporativa
2023-0778;Queja;Anulada;2023-09-18;OAMR;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Anulada por ser una queja igual a otra
2023-0780;Queja;Contestado;2023-09-18;ESCRITO;CONSEJERIA DE EDUCACION;VALLADOLID;
2023-0783;Queja;Contestado;2023-09-18;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SORIA;Desacuerdo con permiso para explotación porcina
2023-0784;Queja;Contestado;2023-09-18;WEB;CONSEJERIA DE EDUCACION;SALAMANCA;Transporte escolar
2023-0786;Queja;Remitido Órgano;2023-09-18;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;AVILA;Área recreativa Fuente de las Aguas Frías. Sotalvo
2023-0781;Queja;Contestado;2023-09-18;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Relacionada con otra queja
2023-0785;Queja;Inadmitida;2023-09-18;WEB;CONSEJERIA DE EDUCACION;PALENCIA;Desacuerdo con la actuación de la DP de Educación en el requerimiento titulación para contratación ate
